Pos(725,-8539.776367,109.379311,15.396795,2.732026),
Pos(725,-8569.655273,84.734695,18.859642,3.105090),
Pos(725,-8588.404297,142.129562,15.511452,1.663884),
Pos(725,-8631.997070,120.800171,17.899673,3.002989),
Pos(725,-8655.670898,146.658920,15.035048,1.875942),
Pos(725,-8649.342773,182.552734,16.877825,5.928597),
Pos(725,-8561.167969,219.985977,15.045720,4.381362),
Pos(725,-8673.927734,287.543915,9.097383,5.151052),
Pos(725,-8699.453125,232.827576,11.406096,5.319913),
Pos(725,-8676.132812,171.955307,11.408776,5.504482),
